new_id,max_date,defaut,Nbre_rejection_3M,Temps_écoulé,Mont_tot_sur_3M,SOLDE,Somme_Reject
2203-2,2024-03-03 23:00:00,0,1,60,1144.6899999999998,-9991.070000000002,100.0
2203-1,2022-12-06 23:00:00,1,0,999,1921.23,-19708.830000000005,0.0
2204-2,2023-11-09 23:00:00,0,0,999,0.0,87.73,0.0
2204-1,2022-05-19 22:00:00,0,0,999,0.0,87.73,0.0
2209-2,2024-03-03 23:00:00,0,0,999,1950.21,738.5099999999998,0.0
2209-1,2022-12-08 23:00:00,0,0,999,656.1999999999999,28110.920000000002,0.0
2214-1,2023-01-11 23:00:00,0,0,999,5229.270000000001,-13609.130000000003,0.0
2215-1,2023-10-04 22:00:00,0,0,999,0.0,1.51,0.0
2220-1,2022-12-28 23:00:00,0,0,999,40.0,10.0,0.0
2221-1,2023-10-04 22:00:00,0,0,999,0.0,683.97,0.0
2222-2,2023-01-31 23:00:00,0,0,999,1259.81,-339.88000000000005,0.0
2222-1,2021-10-20 22:00:00,0,0,999,202.75,-4513.87,0.0
2227-2,2024-02-29 23:00:00,0,0,999,12366.29,-244970.46,0.0
2227-1,2022-12-05 23:00:00,0,0,999,-2441.749999999986,-284904.53,0.0
2231-3,2023-08-15 22:00:00,0,0,999,1257.3099999999997,-8991.609999999991,0.0
2231-2,2022-05-17 22:00:00,0,0,999,-260.3900000000001,-18430.079999999987,0.0
2231-1,2021-02-21 23:00:00,0,0,999,-1223.15,-17711.669999999995,0.0
2236-2,2024-03-03 23:00:00,0,0,999,0.0,-280.57,0.0
2236-1,2022-05-26 22:00:00,0,0,999,0.0,-280.57,0.0
2237-1,2022-12-28 23:00:00,0,0,999,241.06000000000006,-731.3000000000001,0.0
2240-1,2023-06-11 22:00:00,0,0,999,-761.01,463.99,0.0
2242-1,2023-03-14 23:00:00,0,0,999,1249.5399999999997,-2575.95,0.0
2246-1,2022-05-16 22:00:00,0,0,999,7022.15,4050.870000000001,0.0
2253-1,2023-03-07 23:00:00,0,0,999,20.0,270.0,0.0
2260-1,2022-05-23 22:00:00,1,0,999,751.7000000000011,-8513.579999999998,0.0
2261-1,2023-05-25 22:00:00,0,0,999,1792.3799999999999,-2666.250000000002,0.0
2263-1,2022-05-16 22:00:00,0,0,999,6170.0099999999975,7407.879999999976,0.0
2268-1,2022-05-23 22:00:00,1,0,999,751.7000000000003,-8513.579999999998,0.0
2272-1,2023-11-09 23:00:00,0,0,999,2569.94,-31209.950000000008,0.0
2276-1,2022-05-22 22:00:00,1,0,999,-456.4399999999993,-8876.7,0.0
2277-1,2024-03-03 23:00:00,0,0,999,3863.2599999999998,-14147.490000000002,0.0
2279-2,2024-01-21 23:00:00,0,0,999,-44.81000000000003,-13.139999999999993,0.0
2279-1,2022-10-26 22:00:00,0,0,999,3092.260000000001,321.5799999999994,0.0
2292-3,2024-03-03 23:00:00,0,0,999,5976.650000000001,-14688.830000000002,0.0
2292-2,2022-12-07 23:00:00,0,0,999,907.6700000000019,-26571.780000000002,0.0
2292-1,2021-09-13 22:00:00,0,0,999,-1.5100000000000051,-30305.530000000006,0.0
2294-1,2022-10-05 22:00:00,0,0,999,832.5799999999994,-8104.76,0.0
2301-1,2023-10-26 22:00:00,0,0,999,1251.32,-4446.089999999999,0.0
2304-1,2023-10-25 22:00:00,0,0,999,1447.5499999999984,-8511.279999999997,0.0
2310-1,2023-07-19 22:00:00,0,0,999,0.2,-83459.95000000001,0.0
2312-2,2023-08-27 22:00:00,0,0,999,3425.0000000000005,604.0799999999988,0.0
2312-1,2022-06-02 22:00:00,0,0,999,1236.89,-2844.04,0.0
2318-1,2022-07-06 22:00:00,1,2,11,-453.51999999999975,-3821.8700000000003,82.15
2335-2,2024-03-03 23:00:00,0,0,999,5962.6,-9790.600000000002,0.0
2335-1,2022-12-08 23:00:00,0,0,999,7212.800000000001,-29694.17,0.0
2336-3,2023-01-12 23:00:00,0,0,999,25.040000000000628,-3325.300000000001,0.0
2336-2,2021-10-18 22:00:00,0,0,999,7457.900000000001,-9307.070000000005,0.0
2336-1,2020-07-19 22:00:00,0,0,999,3795.7500000000014,-25030.850000000013,0.0
2347-1,2024-02-29 23:00:00,0,0,999,2776.1799999999994,-9824.569999999994,0.0
2352-1,2021-11-08 23:00:00,0,0,999,-192.63999999999987,1485.6200000000001,0.0
2359-1,2023-05-10 22:00:00,0,0,999,1491.3399999999992,14281.939999999991,0.0
2361-2,2024-03-03 23:00:00,0,0,999,0.0,1085.72,0.0
2361-1,2022-05-17 22:00:00,0,0,999,0.0,1085.72,0.0
2367-2,2024-02-04 23:00:00,0,0,999,-700.0,-1398.9300000000003,0.0
2367-1,2022-07-10 22:00:00,0,0,999,0.0,1147.21,0.0
2373-2,2024-03-03 23:00:00,0,0,999,0.0,12674.12,0.0
2373-1,2022-07-28 22:00:00,0,0,999,0.0,12674.12,0.0
2375-3,2023-05-10 22:00:00,0,0,999,2182.080000000001,4864.35,0.0
2375-2,2022-02-09 23:00:00,0,0,999,245.66000000000008,-4045.7800000000007,0.0
2375-1,2020-11-01 23:00:00,0,0,999,-2072.2900000000004,-3552.4400000000023,0.0
2381-1,2022-05-12 22:00:00,0,0,999,-4882.45,-2019.899999999998,0.0
2390-1,2022-05-22 22:00:00,0,0,999,-558.7299999999991,-15762.859999999999,0.0
2397-2,2024-02-28 23:00:00,0,0,999,1875.4999999999998,-11913.429999999998,0.0
2397-1,2022-12-04 23:00:00,0,0,999,1905.619999999999,-23030.439999999995,0.0
2401-1,2022-11-15 23:00:00,0,0,999,545.54,-3262.6899999999996,0.0
2404-2,2024-02-27 23:00:00,0,0,999,-502.26,203.66000000000008,0.0
2404-1,2022-07-04 22:00:00,0,0,999,0.0,1562.21,0.0
2416-2,2024-02-29 23:00:00,0,0,999,-440.0,832.3199999999999,0.0
2416-1,2022-06-30 22:00:00,0,0,999,0.0,1463.43,0.0
2420-2,2023-08-23 22:00:00,0,0,999,108.77,-235.87000000000006,0.0
2420-1,2022-05-29 22:00:00,0,0,999,-10.0,-281.22,0.0
2423-1,2022-05-15 22:00:00,0,0,999,-295.129999999999,40482.33,0.0
2436-3,2023-08-23 22:00:00,0,0,999,185.09000000000378,-17002.87,0.0
2436-2,2022-05-29 22:00:00,0,0,999,3574.7699999999986,-43333.52999999999,0.0
2436-1,2021-03-03 23:00:00,0,0,999,3528.5199999999995,-64155.81000000002,0.0
2437-1,2022-05-15 22:00:00,0,0,999,-295.1299999999992,40482.33,0.0
2438-1,2022-06-03 22:00:00,0,0,999,735.8100000000001,-3648.5300000000007,0.0
2440-1,2024-03-03 23:00:00,0,0,999,526.0699999999999,-369.7699999999999,0.0
2442-1,2022-12-27 23:00:00,0,0,999,1969.8200000000006,-5436.610000000002,0.0
2443-2,2024-03-03 23:00:00,0,0,999,2905.8500000000013,-14074.900000000001,0.0
2443-1,2022-12-08 23:00:00,0,0,999,1088.5799999999995,-23522.100000000006,0.0
2444-1,2022-05-19 22:00:00,0,0,999,1016.9000000000005,-1738.8199999999997,0.0
2445-1,2022-06-07 22:00:00,0,0,999,421.79999999999984,-849.8500000000005,0.0
2446-1,2022-05-31 22:00:00,0,0,999,798.81,-5838.470000000003,0.0
2449-1,2022-05-29 22:00:00,0,0,999,750.5099999999996,-2467.0099999999998,0.0
2451-1,2022-05-16 22:00:00,0,0,999,691.7300000000004,-4412.57,0.0
2454-1,2022-05-22 22:00:00,0,0,999,1029.96,-5134.46,0.0
2457-4,2023-08-20 22:00:00,0,0,999,-1620.7000000000007,-96.00999999999885,0.0
2457-3,2022-05-19 22:00:00,0,0,999,809.1800000000002,1056.9500000000007,0.0
2457-2,2021-02-28 23:00:00,0,0,999,2044.9100000000008,293.1100000000097,0.0
2457-1,2019-12-04 23:00:00,0,0,999,4187.599999999999,-6075.559999999987,0.0
2458-1,2022-05-29 22:00:00,0,0,999,750.5100000000001,-2387.009999999999,0.0
2460-1,2023-05-11 22:00:00,0,0,999,-20.0,30.0,0.0
2463-1,2023-05-11 22:00:00,0,0,999,50.0,-30.0,0.0
2469-2,2024-02-27 23:00:00,0,0,999,28.5,-625.78,0.0
2469-1,2022-06-02 22:00:00,0,0,999,0.0,138.86,0.0
2471-1,2022-05-31 22:00:00,0,0,999,798.8100000000002,-5838.4699999999975,0.0
2472-1,2023-07-20 22:00:00,0,0,999,4657.150000000001,-10316.89,0.0
2487-1,2022-12-27 23:00:00,0,0,999,826.5599999999995,142.67000000000326,0.0
2498-1,2022-05-22 22:00:00,0,0,999,371.9400000000001,-2820.520000000002,0.0
2506-1,2022-06-01 22:00:00,0,0,999,5589.650000000002,-26875.42,0.0
2508-2,2024-02-25 23:00:00,0,0,999,4160.57,-690.2699999999999,0.0
2508-1,2022-12-01 23:00:00,0,0,999,-108.09000000000003,-9256.47000000001,0.0
2513-1,2022-06-10 22:00:00,1,0,999,382.94000000000005,-9775.370000000003,0.0
2524-2,2024-03-03 23:00:00,0,0,999,2840.4500000000003,-10674.409999999996,0.0
2524-1,2022-12-08 23:00:00,0,0,999,264.4000000000002,-25404.690000000002,0.0
2538-2,2024-02-19 23:00:00,0,0,999,0.0,-51.88,0.0
2538-1,2022-08-07 22:00:00,0,0,999,0.0,-51.88,0.0
2540-2,2024-02-29 23:00:00,0,0,999,0.0,1580.53,0.0
2540-1,2022-06-23 22:00:00,0,0,999,0.0,1580.53,0.0
2551-1,2022-06-01 22:00:00,0,0,999,-89.64,5609.41,0.0
2554-2,2024-02-29 23:00:00,0,0,999,0.0,304.09,0.0
2554-1,2022-06-23 22:00:00,0,0,999,0.0,304.09,0.0
