new_id,max_date,defaut,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,Mont_tot_sur_3M,SOLDE
25476-1,2022-12-25 23:00:00,0,0,0.0,999,-492.2800000000027,445.0600000000013
25508-1,2022-11-28 23:00:00,0,0,0.0,999,832.3400000000006,1187.0799999999972
25510-1,2022-11-27 23:00:00,0,0,0.0,999,-1358.0100000000007,807.2900000000033
25541-10,2024-02-29 23:00:00,0,0,0.0,999,-581.159999999999,2026.3499999999979
25541-9,2022-12-05 23:00:00,0,0,0.0,999,1036.8600000000001,4175.409999999997
25541-8,2021-09-09 22:00:00,0,0,0.0,999,-958.9599999999961,3426.6400000000012
25541-7,2020-06-16 22:00:00,0,0,0.0,999,733.4199999999992,3063.489999999999
25541-6,2019-03-14 23:00:00,0,0,0.0,999,-1986.9900000000005,2421.8199999999915
25541-5,2017-12-27 23:00:00,0,0,0.0,999,3412.3199999999997,6752.4399999999905
25541-4,2016-10-02 22:00:00,0,0,0.0,999,10025.87,11557.350000000024
25541-3,2015-07-09 22:00:00,0,0,0.0,999,-7598.000000000006,4891.890000000002
25541-2,2014-04-13 22:00:00,0,0,0.0,999,1612.9199999999983,4102.679999999923
25541-1,2013-01-17 23:00:00,0,0,0.0,999,5102.249999999999,329.15999999994824
25557-1,2023-06-19 22:00:00,0,0,0.0,999,2996.479999999999,-5878.4800000000005
25599-1,2023-01-11 23:00:00,0,0,0.0,999,-3071.1399999999994,2509.9100000000185
25602-1,2023-09-04 22:00:00,0,0,0.0,999,2418.649999999999,-7912.910000000007
25604-1,2022-12-21 23:00:00,0,0,0.0,999,-1524.4300000000003,-2870.7199999999993
25605-1,2022-12-22 23:00:00,0,0,0.0,999,5686.1100000000015,-18622.489999999994
25612-1,2023-08-21 22:00:00,0,0,0.0,999,2606.2799999999997,-15419.399999999998
25615-1,2022-12-22 23:00:00,0,0,0.0,999,7140.350000000002,-17894.82999999999
25616-1,2022-12-22 23:00:00,0,0,0.0,999,4840.849999999999,-18936.690000000002
25631-2,2024-03-03 23:00:00,0,0,0.0,999,-2942.25,5028.770000000002
25631-1,2022-12-04 23:00:00,0,0,0.0,999,-938.6799999999998,-8660.92000000002
25632-2,2024-03-03 23:00:00,0,0,0.0,999,-11343.470000000001,20612.719999999994
25632-1,2022-12-04 23:00:00,0,0,0.0,999,10629.09,18214.96
25638-7,2023-01-11 23:00:00,0,0,0.0,999,-706.9099999999972,-2085.7900000000013
25638-6,2021-10-17 22:00:00,0,0,0.0,999,3932.4399999999987,1200.3500000000072
25638-5,2020-07-21 22:00:00,0,0,0.0,999,-829.3500000000004,-26832.40999999998
25638-4,2019-04-29 22:00:00,0,0,0.0,999,304.95,-29793.609999999906
25638-3,2018-01-31 23:00:00,0,0,0.0,999,96.24000000000001,-31197.64000000005
25638-2,2016-10-30 23:00:00,0,0,0.0,999,57.9,-35011.99999999998
25638-1,2015-01-15 23:00:00,0,0,0.0,999,0.0,2124.85
25639-2,2023-01-10 23:00:00,0,0,0.0,999,1234.5599999999997,-1802.8999999999987
25639-1,2021-10-14 22:00:00,0,0,0.0,999,1823.2200000000005,-2444.0600000000013
25640-5,2023-01-05 23:00:00,0,0,0.0,999,2675.31,5091.670000000001
25640-4,2021-10-11 22:00:00,0,0,0.0,999,2147.64,40.289999999996326
25640-3,2020-07-09 22:00:00,0,0,0.0,999,-9131.84,-1712.3899999999967
25640-2,2019-04-22 22:00:00,0,0,0.0,999,6624.130000000001,-3373.109999999998
25640-1,2018-01-18 23:00:00,0,0,0.0,999,1391.0900000000001,-2346.539999999991
25643-5,2023-01-05 23:00:00,0,0,0.0,999,2675.31,5091.670000000001
25643-4,2021-10-11 22:00:00,0,0,0.0,999,2147.6399999999994,40.29000000000178
25643-3,2020-07-09 22:00:00,0,0,0.0,999,-9131.84,-1712.390000000004
25643-2,2019-04-22 22:00:00,0,0,0.0,999,6624.13,-3373.109999999997
25643-1,2018-01-18 23:00:00,0,0,0.0,999,1391.0900000000001,-2346.54
25645-7,2023-01-11 23:00:00,0,0,0.0,999,-706.9100000000005,-1832.009999999997
25645-6,2021-10-17 22:00:00,0,0,0.0,999,3932.4399999999987,1454.1299999999842
25645-5,2020-07-21 22:00:00,0,0,0.0,999,-829.3500000000008,-24578.629999999997
25645-4,2019-04-29 22:00:00,0,0,0.0,999,304.95,-27539.830000000024
25645-3,2018-01-31 23:00:00,0,0,0.0,999,96.23999999999998,-28943.860000000022
25645-2,2016-10-30 23:00:00,0,0,0.0,999,57.9,-32193.36999999993
