new_id,max_date,defaut,Mont_positive_tot_sur_3M,Mont_negatif_tot_sur_3M,Nbre_rejection_3M,Somme_Reject,Temps_écoulé,SOLDE
22303-1,2022-11-28 23:00:00,0,15907.649999999998,-13469.77,0,0.0,999,-4529.59
22321-1,2024-03-03 23:00:00,0,9331.64,-5654.13,0,0.0,999,-9024.38
22365-8,2024-02-27 23:00:00,0,5531.2,-1898.62,0,0.0,999,-3965.4599999999987
22365-7,2022-11-27 23:00:00,0,1198.0,-426.4,0,0.0,999,-15031.370000000003
22365-6,2021-09-07 22:00:00,0,495.0,-377.83,0,0.0,999,-18336.280000000002
22365-5,2020-06-09 22:00:00,0,192.0,-178.5,0,0.0,999,-21167.199999999997
22365-4,2019-03-17 23:00:00,0,265.77,-227.53,0,0.0,999,-22562.079999999998
22365-3,2017-12-19 23:00:00,0,513.0,-1.01,0,0.0,999,-29048.63
22365-2,2016-07-14 22:00:00,0,3251.0,-600.03,0,0.0,999,-31425.3
22365-1,2015-07-07 22:00:00,0,5842.0,-3055.29,0,0.0,999,-41512.09
22368-1,2023-08-22 22:00:00,0,468.45,-129.68,0,0.0,999,-926.61
22369-1,2022-12-11 23:00:00,0,7584.719999999999,-5723.24,0,0.0,999,-16404.109999999997
22370-1,2023-08-27 22:00:00,0,475.0,-245.41,0,0.0,999,-910.31
22373-2,2023-08-27 22:00:00,0,1564.4,-977.4200000000001,0,0.0,999,1775.5700000000008
22373-1,2022-05-31 22:00:00,0,3900.0,-3840.4399999999996,0,0.0,999,3607.3200000000006
22393-6,2024-02-11 23:00:00,0,0.0,0.0,0,0.0,999,88.51
22393-3,2019-06-09 22:00:00,0,0.0,0.0,0,0.0,999,88.51
22393-1,2017-03-06 23:00:00,0,0.0,0.0,0,0.0,999,88.51
22395-3,2019-06-09 22:00:00,0,0.0,0.0,0,0.0,999,19.98
22395-2,2017-03-06 23:00:00,0,0.0,0.0,0,0.0,999,19.98
22395-1,2015-10-06 22:00:00,0,0.0,0.0,0,0.0,999,19.98
22404-7,2024-03-04 23:00:00,0,70729.38,-85569.06999999999,0,0.0,999,2282.5799999999813
22404-6,2022-12-08 23:00:00,0,32491.99,-32281.440000000006,0,0.0,999,4587.149999999985
22404-5,2021-09-14 22:00:00,0,30095.059999999998,-27150.300000000003,0,0.0,999,7674.989999999985
22404-4,2020-06-18 22:00:00,0,34874.02,-59029.22,0,0.0,999,7616.289999999999
22404-3,2019-03-27 23:00:00,0,38495.25,-20210.38,0,0.0,999,5341.109999999973
22404-2,2017-12-21 23:00:00,0,15534.0,-11701.98,0,0.0,999,5068.989999999949
22404-1,2016-10-06 22:00:00,0,22635.13,-21124.46,0,0.0,999,6250.17999999998
22430-1,2022-12-11 23:00:00,0,40409.49000000001,-41461.799999999996,0,0.0,999,2388.940000000001
22431-1,2022-12-11 23:00:00,0,15999.1,-14252.79,0,0.0,999,-9623.23999999996
22433-1,2022-12-11 23:00:00,0,2996.37,-1911.26,0,0.0,999,-4555.209999999999
22441-3,2021-04-05 22:00:00,0,0.0,0.0,0,0.0,999,0.0
22441-2,2018-12-17 23:00:00,0,0.0,0.0,0,0.0,999,0.0
22444-11,2023-02-21 23:00:00,0,44201.17,-44210.85,0,0.0,999,-2630.249999999999
22444-10,2021-11-23 23:00:00,0,16179.98,-16380.29,0,0.0,999,-3066.1399999999962
22444-9,2020-09-02 22:00:00,0,7937.85,-19525.809999999998,0,0.0,999,4440.860000000002
22444-8,2019-06-09 22:00:00,0,6209.62,-6502.459999999999,0,0.0,999,-13092.420000000033
